Review_ID,Movie_ID,Reviewer_Name,Review_Rating,Reviewer_Nationality,Reviewer_Age,Review_Date,Sex
8528,Le salaire de la peur,Dalton Hawkins,8,USA,49,6/1/2024,Female
8765,Gone with the Wind,Steven Garcia,8,China,51,6/1/2024,Female
8840,La passion de Jeanne d'Arc,Brenda Kennedy,8,Brazil,59,6/1/2024,Female
8871,La passion de Jeanne d'Arc,Matthew Webb,7,Brazil,56,6/1/2024,Male
8969,The General,Paula Moreno,5,India,66,6/1/2024,Female
8998,Das Cabinet des Dr. Caligari,Miranda Reyes,8,Canada,68,6/1/2024,Female
9404,Gully Boy,Mr. Curtis Wood,8,India,59,6/1/2024,Male
9501,The Imitation Game,Amanda Luna,8,India,73,6/1/2024,Male
9554,The Revenant,Jennifer Taylor,8,Brazil,62,6/1/2024,Unknown
9712,Yip Man,Thomas Brown,10,Germany,41,6/1/2024,Female
9964,Blood Diamond,Shawn Roberts,8,Japan,27,6/1/2024,Male
10301,Cinderella Man,Anne Smith,5,USA,32,6/1/2024,Female
11107,Rain Man,James Crane,6,India,59,6/1/2024,Male
11810,Who's Afraid of Virginia Woolf?,Courtney Santiago,9,Brazil,45,6/1/2024,Male
11957,8½,Richard Allen,4,UK,52,6/1/2024,Female
12061,Anatomy of a Murder,Blake Jenkins MD,8,China,32,6/1/2024,Female
12381,A Streetcar Named Desire,Michael Bird,9,USA,25,6/1/2024,Female
12386,In a Lonely Place,Nicholas Beck,8,USA,73,6/1/2024,Male
12992,Captain Fantastic,Dr. Jessica Padilla,9,USA,65,6/1/2024,Female
13049,Sing Street,Kathryn Rogers,6,China,51,6/1/2024,Male
13292,The Artist,Sarah Moreno,8,UK,33,6/1/2024,Female
13622,Star Trek,Andrew Carter,10,USA,65,6/1/2024,Male
13657,In Bruges,Amanda Diaz,8,China,58,6/1/2024,Male
14417,True Romance,Nicholas Larson,8,India,28,6/1/2024,Female
14449,True Romance,Carol Parker,7,UK,45,6/1/2024,Male
15148,The Manchurian Candidate,Rachel Gonzalez,9,Australia,60,6/1/2024,Female
15230,L'avventura,William Carr,6,Australia,52,6/1/2024,Male
15453,Harvey,Heather Padilla,6,China,71,6/1/2024,Male
15724,The Adventures of Robin Hood,Stacie Franklin,8,India,19,6/1/2024,Male
15905,Raazi,Stacy Bean,10,Australia,74,6/1/2024,Female
15932,Raazi,James Wheeler,9,China,54,6/1/2024,Male
15968,Sound of Metal,Courtney Scott,8,Germany,69,6/1/2024,Female
16595,Toy Story 4,Steven Davis,9,India,47,6/1/2024,Female
16705,Ang-ma-reul bo-at-da,John Copeland,6,France,19,6/1/2024,Male
16707,Ang-ma-reul bo-at-da,Elizabeth Hubbard DVM,5,Australia,50,6/1/2024,Male
16793,Ajeossi,Kevin Hart,8,China,25,6/1/2024,Male
16838,Straight Outta Compton,Justin Bennett,10,China,54,6/1/2024,Female
16855,Madeo,Amy Stevens,10,USA,23,6/1/2024,Male
16874,Madeo,Jill Tate,7,Germany,55,6/1/2024,Male
17042,Druk,Amanda Flores,9,France,28,6/1/2024,Male
17110,Taken,Jeremy Woods,8,Canada,20,6/1/2024,Female
17158,Once,Justin Cook,8,India,38,6/1/2024,Female
17195,The Hobbit: An Unexpected Journey,Anthony Huang,8,UK,20,6/1/2024,Female
17352,Avatar,Catherine Smith,5,India,31,6/1/2024,Female
17693,The Notebook,Sylvia Mcdowell,7,Brazil,30,6/1/2024,Male
17786,Gongdong gyeongbi guyeok JSA,Hannah Hernandez,9,France,73,6/1/2024,Male
18334,Breaking the Waves,Matthew Malone DVM,8,China,55,6/1/2024,Female
18495,The Remains of the Day,Caroline Fletcher,7,UK,70,6/1/2024,Female
18570,A Bronx Tale,Leslie Brown,8,Canada,46,6/1/2024,Male
18612,Batman: Mask of the Phantasm,Sara Baxter,9,USA,67,6/1/2024,Male
18834,Awakenings,Gary Mcgrath,10,UK,28,6/1/2024,Female
18965,Mississippi Burning,Tonya Murphy,7,Canada,20,6/1/2024,Male
19070,The Breakfast Club,Sharon Castaneda,6,China,62,6/1/2024,Female
19693,Mary Poppins,Rodney Jones,8,Germany,58,6/1/2024,Female
19864,To Have and Have Not,Ryan Mayer,9,USA,49,6/1/2024,Female
19922,Stagecoach,Barbara Torres,8,China,46,6/1/2024,Male
20101,Frankenstein,Marc Mendez,8,USA,63,6/1/2024,Male
20160,God's Own Country,Catherine Stephens,5,Germany,72,6/1/2024,Male
20366,The Theory of Everything,Chris Trevino,7,USA,19,6/1/2024,Female
20995,Skyfall,Eric Ramirez,7,Japan,42,6/1/2024,Unknown
21006,Skyfall,Mrs. Melanie Lin MD,9,China,58,6/1/2024,Female
21231,Flipped,Ryan Davis Jr.,7,USA,69,6/1/2024,Female
21249,Toki o kakeru shôjo,David Hernandez,7,Australia,37,6/1/2024,Male
21444,Lucky Number Slevin,John Rivas,6,Germany,34,6/1/2024,Female
21457,Joyeux Noël,Jennifer Spencer,7,USA,70,6/1/2024,Male
21458,Joyeux Noël,Michael Jacobs,7,Australia,37,6/1/2024,Female
21994,Das Experiment,Gregory Gonzales,6,India,41,6/1/2024,Female
22159,"O Brother, Where Art Thou?",Andrea Moyer,8,USA,62,6/1/2024,Female
22181,Interstate 60: Episodes of the Road,Barbara Olson,7,Australia,60,6/1/2024,Female
22183,Interstate 60: Episodes of the Road,Nicole Martinez,9,USA,60,6/1/2024,Male
22490,Le dîner de cons,Charles Christian,4,China,57,6/1/2024,Female
22656,Short Cuts,Daniel Torres,10,USA,40,6/1/2024,Male
23222,After Hours,Amanda Howard,7,Australia,44,6/1/2024,Female
23352,Star Trek II: The Wrath of Khan,Terry Golden,7,UK,44,6/1/2024,Female
23359,Star Trek II: The Wrath of Khan,Emily Grimes,9,USA,39,6/1/2024,Male
24058,Les yeux sans visage,Katherine Byrd,5,Japan,22,6/1/2024,Male
24303,Gilda,John Hawkins,5,Germany,50,6/1/2024,Male
24307,Fantasia,Stephanie Sanders,8,USA,68,6/1/2024,Male
24496,Gifted,Kathryn Smith,7,USA,62,6/1/2024,Female
24736,Incredibles 2,Nathaniel Roberts,6,Australia,63,6/1/2024,Male
24796,Sicario,Stacey Stanton,7,USA,71,6/1/2024,Male
24809,Creed,Johnathan Hughes,7,Australia,46,6/1/2024,Male
24922,Serbuan maut,Robert Green,7,USA,55,6/1/2024,Female
25158,50/50,Charles Payne,9,USA,32,6/1/2024,Female
25231,Celda 211,Jessica Hernandez,7,China,52,6/1/2024,Male
25799,300,Tiffany Mckinney,7,USA,49,6/1/2024,Female
25969,"Synecdoche, New York",Tiffany Woods,9,Japan,51,6/1/2024,Female
26023,Jeux d'enfants,Eric Washington,6,Germany,53,6/1/2024,Male
26088,The Station Agent,Linda Thomas,6,China,69,6/1/2024,Female
26153,Boksuneun naui geot,Becky Benson,8,Australia,57,6/1/2024,Male
26268,The Butterfly Effect,Alejandro Richard,9,USA,52,6/1/2024,Male
26315,Batoru rowaiaru,Adam Nelson MD,7,USA,32,6/1/2024,Female
26590,The Hurricane,Michael Rivera,8,China,58,6/1/2024,Male
26690,The Thin Red Line,Patrick Black,7,France,29,6/1/2024,Female
26791,Dark City,Dr. Richard Taylor,9,China,21,6/1/2024,Male
27076,My Cousin Vinny,James Roberts,7,India,37,6/1/2024,Male
27077,My Cousin Vinny,Megan Adams,8,France,25,6/1/2024,Female
27373,"Planes, Trains & Automobiles",Amy Horton,8,USA,21,6/1/2024,Female
27422,On Golden Pond,Edward Smith,10,USA,21,6/1/2024,Female
27446,The Warriors,Walter Howard,7,India,35,6/1/2024,Male
27597,Midnight Express,Margaret Wright,8,China,70,6/1/2024,Female
23,The Godfather,Jeffrey Campbell,7,China,35,6/2/2024,Unknown
278,Forrest Gump,Jesus Savage Jr.,9,Brazil,41,6/2/2024,Female
354,The Matrix,Teresa Powers,10,USA,75,6/2/2024,Female
883,Seppuku,Ashley Greene,10,USA,54,6/2/2024,Female
1154,Terminator 2: Judgment Day,Kathy Wilson,9,USA,56,6/2/2024,Male
1698,3 Idiots,Stephen Johnson,6,USA,19,6/2/2024,Male
1799,WALL·E,Casey Singleton,9,UK,43,6/2/2024,Male
1960,Once Upon a Time in America,Colton Evans,8,USA,22,6/2/2024,Unknown
2009,The Shining,Harold Hayes,10,Germany,71,6/2/2024,Male
2215,Paths of Glory,John Ochoa,10,USA,47,6/2/2024,Female
2896,Reservoir Dogs,Kayla Welch,9,UK,21,6/2/2024,Male
3141,The Sting,Amanda Mcdonald,7,Canada,56,6/2/2024,Female
3210,A Clockwork Orange,Willie Gray,9,China,45,6/2/2024,Male
3294,Lawrence of Arabia,Peter Wells,9,Brazil,20,6/2/2024,Female
3693,Green Book,Kylie Gordon,8,China,45,6/2/2024,Male
4021,Udaan,Nathan Avila,7,China,59,6/2/2024,Female
4390,Black,Dana Carr,9,Australia,60,6/2/2024,Female
4444,Batman Begins,Carrie Casey,6,China,64,6/2/2024,Female
4453,"Swades: We, the People",Jason Hawkins,9,USA,41,6/2/2024,Male
4635,"Lock, Stock and Two Smoking Barrels",Ralph Kennedy,8,Germany,40,6/2/2024,Male
5037,Stalker,Deborah Archer,10,India,58,6/2/2024,Female
5078,The Message,Rebecca Miller,9,Brazil,70,6/2/2024,Male
5185,The Great Escape,Andrew Ruiz,8,UK,35,6/2/2024,Male
5340,Smultronstället,David Smith,10,India,55,6/2/2024,Female
5369,Smultronstället,Kyle Mitchell,8,India,42,6/2/2024,Male
6174,Inside Out,Brian Carpenter,9,USA,52,6/2/2024,Male
6361,Song of the Sea,Natalie Chen,6,Germany,39,6/2/2024,Female
6719,Million Dollar Baby,Tiffany Park,8,Australia,65,6/2/2024,Male
6729,Million Dollar Baby,Lynn Garcia,7,France,67,6/2/2024,Male
6739,Million Dollar Baby,Thomas Olson,5,UK,37,6/2/2024,Female
6871,Salinui chueok,Matthew Garcia,6,China,55,6/2/2024,Male
7190,The Big Lebowski,Adam Ortega,6,China,36,6/2/2024,Female
7196,Fa yeung nin wah,Kevin Thomas II,6,India,19,6/2/2024,Male
7203,Fa yeung nin wah,Kathleen Bennett,9,UK,55,6/2/2024,Female
7283,La haine,Kristy Frost,10,UK,43,6/2/2024,Male
8008,Solaris,Ashley Martin,7,UK,39,6/2/2024,Male
8077,Persona,Emily Smith,8,China,29,6/2/2024,Male
8091,Persona,Pamela Foster,7,India,62,6/2/2024,Male
8104,Andrei Rublev,Aaron Rodriguez,7,Germany,29,6/2/2024,Female
8226,What Ever Happened to Baby Jane?,Nicholas Bailey,9,France,54,6/2/2024,Male
8276,The Man Who Shot Liberty Valance,John Taylor,7,USA,18,6/2/2024,Female
8326,Ivanovo detstvo,Carlos Ramos,9,Japan,18,6/2/2024,Female
8328,Ivanovo detstvo,Christopher Nelson,8,Germany,55,6/2/2024,Female
8413,Le notti di Cabiria,Nicole Evans,7,UK,73,6/2/2024,Male
8831,La passion de Jeanne d'Arc,Timothy Adams,10,Germany,61,6/2/2024,Male
8844,La passion de Jeanne d'Arc,Virginia Campbell,7,Germany,24,6/2/2024,Female
8938,Sunrise: A Song of Two Humans,Kimberly Davis,8,UK,68,6/2/2024,Female
9022,Das Cabinet des Dr. Caligari,Lisa Hanson,7,India,37,6/2/2024,Female
9394,Wonder,Roy Phillips,8,USA,73,6/2/2024,Male
9442,Short Term 12,Mary Burgess,8,China,57,6/2/2024,Female
9674,Deadpool,Nichole White,10,UK,42,6/2/2024,Female
9682,Darbareye Elly,Ronald Smith,9,USA,37,6/2/2024,Male
9717,My Name Is Khan,Michael Vasquez MD,8,USA,19,6/2/2024,Female
9870,Persepolis,Patricia Jacobson,8,China,36,6/2/2024,Male
10139,Ratatouille,Victoria Brown,7,France,39,6/2/2024,Male
10179,Casino Royale,Michael Lewis,9,India,54,6/2/2024,Female
10294,Cinderella Man,Bradley Simon,8,Canada,46,6/2/2024,Male
10456,Dogville,Stephanie Wheeler,9,India,68,6/2/2024,Female
10526,Magnolia,Kevin Freeman,8,USA,45,6/2/2024,Male
10549,Dancer in the Dark,Jonathan Baker,8,India,47,6/2/2024,Male
10668,The Iron Giant,Christopher Norman,7,USA,48,6/2/2024,Female
10727,Sling Blade,Joseph Lewis,7,Germany,35,6/2/2024,Unknown
10741,Secrets & Lies,Teresa Brown,7,Australia,68,6/2/2024,Male
10970,Scent of a Woman,Anthony Shannon,9,Australia,35,6/2/2024,Male
11383,Annie Hall,Andrew Clark,6,USA,32,6/2/2024,Female
11831,The Sound of Music,Amanda Anderson,8,India,30,6/2/2024,Male
11883,Doctor Zhivago,Dawn Weber,6,USA,40,6/2/2024,Male
12237,La Strada,Kyle Stevenson,8,China,50,6/2/2024,Male
12303,Les diaboliques,Steven Alvarado,9,France,70,6/2/2024,Male
12504,Brief Encounter,Jesus Garcia,6,USA,51,6/2/2024,Male
13062,Thor: Ragnarok,Amy Walker,7,India,22,6/2/2024,Male
13092,Nightcrawler,Mary Smith,9,UK,45,6/2/2024,Male
13104,Nightcrawler,Andre Griffin,7,Australia,75,6/2/2024,Female
13160,Star Wars: Episode VII - The Force Awakens,Alyssa Bridges,8,Brazil,33,6/2/2024,Male
13399,Un prophète,Glenn Miller,9,Australia,73,6/2/2024,Female
13712,Letters from Iwo Jima,Kelly Rivera,8,USA,46,6/2/2024,Female
13775,Life of Pi,Tammy Krause,5,Germany,71,6/2/2024,Male
13782,Life of Pi,Anna Walker,7,China,34,6/2/2024,Unknown
13953,Gegen die Wand,Calvin West,6,USA,73,6/2/2024,Male
13987,Mystic River,Elizabeth Macdonald,9,Australia,43,6/2/2024,Male
14118,Cowboy Bebop: Tengoku no tobira,John Clayton,7,India,65,6/2/2024,Male
14256,Almost Famous,Jessica Cobb,9,China,72,6/2/2024,Female
14475,Jûbê ninpûchô,George Fowler,8,France,58,6/2/2024,Female
14858,Amarcord,Christine Whitney,8,USA,74,6/2/2024,Male
14864,Amarcord,Brandon Foster,7,India,24,6/2/2024,Male
14969,Patton,Holly Sanchez,9,China,43,6/2/2024,Female
15205,L'avventura,Melissa Newman,6,USA,71,6/2/2024,Male
15335,East of Eden,Cassandra Davis,6,UK,34,6/2/2024,Male
15347,East of Eden,Michael Ali,10,India,64,6/2/2024,Female
15395,High Noon,Ashlee Mccoy,9,Brazil,69,6/2/2024,Female
15488,Miracle on 34th Street,Steven Brown,7,USA,45,6/2/2024,Male
15828,Nosferatu,Cameron Rodriguez,7,USA,49,6/2/2024,Male
15976,Sound of Metal,William Olson,6,China,63,6/2/2024,Female
16010,Forushande,Jessica Williams,9,India,25,6/2/2024,Male
16023,Dunkirk,Jack Crawford,9,Germany,38,6/2/2024,Female
16111,Udta Punjab,Matthew Garcia,7,India,73,6/2/2024,Unknown
16196,Under sandet,Blake Richardson,7,USA,46,6/2/2024,Female
16211,Under sandet,Richard Sanchez DVM,7,India,58,6/2/2024,Male
16539,English Vinglish,Emily Higgins,7,Canada,35,6/2/2024,Male
16640,How to Train Your Dragon 2,Cassandra Robertson,9,Australia,49,6/2/2024,Male
16948,Das weiße Band - Eine deutsche Kindergeschichte,Christian Juarez,8,China,64,6/2/2024,Female
17430,Little Miss Sunshine,Karen Williams,7,Australia,70,6/2/2024,Unknown
17482,The Curious Case of Benjamin Button,Sarah Holden,10,China,31,6/2/2024,Male
17756,Les triplettes de Belleville,Matthew Hernandez,8,India,59,6/2/2024,Female
17787,Gongdong gyeongbi guyeok JSA,Rachel Rowe,7,China,65,6/2/2024,Female
17840,The Count of Monte Cristo,Adam Barnett,9,India,60,6/2/2024,Male
17866,Waking Life,Logan Rosario,8,India,54,6/2/2024,Male
17941,Wo hu cang long,Rebecca Howard,10,Canada,58,6/2/2024,Male
18030,The Boondock Saints,Rebecca Vega,8,India,66,6/2/2024,Male
18179,Titanic,Nicholas Myers,9,China,62,6/2/2024,Female
18220,Hana-bi,Jacob Gonzalez,8,Germany,29,6/2/2024,Female
18337,Breaking the Waves,Danielle Baker,8,USA,35,6/2/2024,Male
18402,What's Eating Gilbert Grape,Meghan Miles,6,USA,37,6/2/2024,Male
18522,The Fugitive,John Miller,6,China,71,6/2/2024,Male
18646,Lat sau san taam,Denise Murillo,9,India,33,6/2/2024,Female
18942,Back to the Future Part II,Madison Harris,7,India,30,6/2/2024,Female
18943,Back to the Future Part II,Robin Graham,9,USA,54,6/2/2024,Female
19172,The Right Stuff,Aaron Bailey,10,India,32,6/2/2024,Female
19192,The King of Comedy,David Bailey,6,China,73,6/2/2024,Male
19255,The Outlaw Josey Wales,Donna Peck,8,Japan,19,6/2/2024,Female
19266,The Outlaw Josey Wales,Wendy Harrell,9,India,63,6/2/2024,Unknown
19323,The Conversation,Rachel Rice,7,UK,34,6/2/2024,Male
19503,Willy Wonka & the Chocolate Factory,Virginia Ramirez,8,Canada,57,6/2/2024,Female
19658,My Fair Lady,Rose Riley,6,India,69,6/2/2024,Male
19743,Jules et Jim,Carla Hicks,10,Australia,47,6/2/2024,Female
20071,Scarface: The Shame of the Nation,Tonya Jones,7,UK,28,6/2/2024,Female
20303,En man som heter Ove,Brittany Peterson,7,China,25,6/2/2024,Female
20856,Gravity,John Adams,7,Canada,53,6/2/2024,Female
21079,(500) Days of Summer,Christina Thompson,8,Australia,26,6/2/2024,Male
21202,Flipped,Jason Hall,7,Canada,56,6/2/2024,Female
21213,Flipped,Teresa King,8,UK,25,6/2/2024,Male
21566,Zwartboek,Michael Young,8,India,64,6/2/2024,Female
21883,Good Bye Lenin!,James Miller,8,India,75,6/2/2024,Male
22123,Vampire Hunter D: Bloodlust,Donald Torres,5,China,20,6/2/2024,Female
22170,"O Brother, Where Art Thou?",Breanna Stephens,8,India,29,6/2/2024,Male
22281,Happiness,Susan Wilson,9,UK,38,6/2/2024,Male
22668,Short Cuts,Kayla Meyers,6,Japan,54,6/2/2024,Male
22682,Short Cuts,Cynthia Stevens,8,UK,45,6/2/2024,Unknown
22779,Malcolm X,Sandra Howard,6,USA,19,6/2/2024,Male
22930,Fried Green Tomatoes,Kimberly Solomon,10,Germany,34,6/2/2024,Male
23152,Blue Velvet,Jessica Benitez MD,10,India,21,6/2/2024,Male
23170,The Purple Rose of Cairo,Emily Burke,8,USA,57,6/2/2024,Male
23280,Zelig,Nathaniel Ramsey,5,Germany,57,6/2/2024,Male
23395,First Blood,Shannon Gay,8,France,25,6/2/2024,Female
23751,Where Eagles Dare,Dominique Alvarez,5,China,75,6/2/2024,Male
23997,Peeping Tom,Jeffery Russell,9,India,33,6/2/2024,Female
24343,The Invisible Man,Russell Cohen,7,Germany,60,6/2/2024,Male
24344,The Invisible Man,Kelli Taylor,7,China,18,6/2/2024,Male
24936,Serbuan maut,Brian Olson,6,China,51,6/2/2024,Female
25080,Hævnen,Carolyn Payne,7,Germany,54,6/2/2024,Male
25293,La piel que habito,Rachel Reyes,10,India,73,6/2/2024,Male
25584,Inside Man,Justin Herman PhD,6,USA,30,6/2/2024,Male
25622,Inside Man,Katie Johnson,8,USA,32,6/2/2024,Male
25774,Harry Potter and the Half-Blood Prince,Kyle Mccarty,8,Brazil,68,6/2/2024,Female
26373,Y tu mamá también,Abigail Fitzpatrick,6,Australia,40,6/2/2024,Female
26463,The Others,Daniel Garrett,6,India,52,6/2/2024,Female
26603,The Hurricane,Ralph Hanson,4,USA,37,6/2/2024,Male
26909,The Bridges of Madison County,Raymond Ward,8,France,70,6/2/2024,Male
27008,Falling Down,Jacqueline Allison MD,8,USA,74,6/2/2024,Male
27310,The Little Mermaid,Zachary Anthony,8,Canada,41,6/2/2024,Female
27397,Lethal Weapon,Eric Gilbert,6,UK,49,6/2/2024,Male
27674,Kelly's Heroes,Michael Waters,7,UK,67,6/2/2024,Male
436,Hamilton,Jennifer Francis,8,Brazil,46,6/3/2024,Female
555,Interstellar,Stephen Harris,10,Canada,51,6/3/2024,Male
639,Cidade de Deus,Jennifer Anderson,9,USA,56,6/3/2024,Unknown
925,Joker,Chloe Murphy,7,Canada,59,6/3/2024,Male
1346,Modern Times,Ronald Jimenez,8,USA,65,6/3/2024,Female
1487,Spider-Man: Into the Spider-Verse,Patrick Santos,5,Brazil,71,6/3/2024,Male
1577,Avengers: Infinity War,Carlos Scott,8,USA,75,6/3/2024,Female
1605,Coco,Rebecca Solis,8,India,36,6/3/2024,Male
1718,3 Idiots,Jonathan Caldwell,9,USA,55,6/3/2024,Male
1784,WALL·E,Tiffany Kim MD,6,India,20,6/3/2024,Male
1937,Once Upon a Time in America,Joseph Stewart,10,France,45,6/3/2024,Unknown
1988,Raiders of the Lost Ark,Terry Lee,9,Australia,34,6/3/2024,Unknown
2414,Andhadhun,Roberta Mccullough,10,USA,20,6/3/2024,Male
2767,American Beauty,Andrew Hart,10,Japan,48,6/3/2024,Female
2808,Good Will Hunting,Adam Wilson,8,USA,49,6/3/2024,Female
3023,Scarface,John Patton,9,Germany,42,6/3/2024,Male
3072,Star Wars: Episode VI - Return of the Jedi,Kyle Cooper,10,Australia,37,6/3/2024,Male
3136,The Sting,Thomas Taylor,10,Australia,38,6/3/2024,Unknown
3191,A Clockwork Orange,Thomas Huff,8,USA,63,6/3/2024,Male
3496,Citizen Kane,Laura Herring,6,UK,60,6/3/2024,Male
4280,Toy Story 3,April Myers,8,China,50,6/3/2024,Male
4364,Black,Tiffany Gentry,8,India,44,6/3/2024,Male
4876,Dom za vesanje,Austin Osborne,10,India,65,6/3/2024,Female
4897,Dom za vesanje,Alan Acevedo,8,USA,25,6/3/2024,Male
4955,Die Hard,Amanda Anderson,6,India,58,6/3/2024,Male
5334,Smultronstället,Christopher Kidd,8,China,55,6/3/2024,Male
6119,Ôkami kodomo no Ame to Yuki,Rebecca Hill,10,Brazil,36,6/3/2024,Male
6517,Okuribito,Justin Jones,7,Germany,25,6/3/2024,Male
6523,Okuribito,Timothy Weber,7,China,30,6/3/2024,Female
6571,Hachi: A Dog's Tale,Cindy Silva,10,Germany,50,6/3/2024,Male
6691,Lage Raho Munna Bhai,Theresa Martinez,9,Japan,73,6/3/2024,Female
6759,Hotel Rwanda,Antonio Stevens,9,Germany,26,6/3/2024,Male
7024,"Monsters, Inc.",Allen Hoffman,7,India,61,6/3/2024,Male
7313,Dilwale Dulhania Le Jayenge,Susan Lee,7,UK,25,6/3/2024,Male
7373,Chung Hing sam lam,Justin Hopkins,7,UK,55,6/3/2024,Female
7529,Dead Poets Society,Scott Wilson,6,USA,23,6/3/2024,Female
7554,Dead Poets Society,Casey Gilbert,9,Japan,61,6/3/2024,Male
7697,Pink Floyd: The Wall,Michelle Hayes,10,Japan,61,6/3/2024,Male
8166,El ángel exterminador,Lucas Hudson,5,India,53,6/3/2024,Female
8280,The Man Who Shot Liberty Valance,Laura Miller,7,UK,46,6/3/2024,Male
